ID_Medicamento,Nome,Tipo,Dosagem
184,Traditional,Xarope,86mg
185,Early,Comprimido,218mg
186,Those,Pomada,36mg
187,Person,Xarope,2mg
188,Administration,Cápsula,62mg
189,Record,Cápsula,203mg
190,Wide,Cápsula,23mg
191,Show,Xarope,111mg
192,My,Xarope,156mg
193,Indicate,Xarope,295mg
194,Note,Cápsula,455mg
195,Evidence,Comprimido,429mg
196,Series,Injeção,24mg
197,Decade,Pomada,479mg
198,Themselves,Pomada,307mg
199,Member,Comprimido,355mg
200,Imagine,Cápsula,104mg
201,Argue,Injeção,15mg
202,After,Comprimido,74mg
203,Write,Cápsula,483mg
204,We,Cápsula,83mg
205,Find,Comprimido,328mg
206,Cause,Xarope,496mg
207,Item,Xarope,325mg
208,Put,Comprimido,407mg
209,Next,Xarope,326mg
210,Like,Injeção,283mg
211,All,Comprimido,292mg
212,Class,Xarope,280mg
213,Building,Injeção,98mg
214,Recognize,Pomada,284mg
215,Buy,Comprimido,144mg
216,Identify,Pomada,118mg
217,Bill,Xarope,456mg
218,Cold,Injeção,107mg
219,Opportunity,Injeção,153mg
220,Report,Pomada,367mg
221,The,Pomada,366mg
222,Play,Pomada,434mg
223,Whole,Xarope,334mg
224,After,Pomada,344mg
225,Heart,Pomada,71mg
226,Subject,Injeção,385mg
227,Letter,Comprimido,41mg
228,Either,Pomada,2mg
229,Star,Comprimido,89mg
230,Way,Comprimido,247mg
231,Glass,Injeção,251mg
232,Decide,Pomada,357mg
233,Among,Comprimido,157mg
234,Energy,Comprimido,204mg
235,Camera,Comprimido,363mg
236,Pass,Xarope,202mg
237,Room,Comprimido,417mg
238,Month,Cápsula,61mg
239,Section,Xarope,374mg
240,Trial,Comprimido,11mg
241,Mrs,Xarope,474mg
242,Oil,Cápsula,338mg
243,Fire,Pomada,471mg
244,Me,Cápsula,430mg
245,Pretty,Comprimido,376mg
246,Hope,Injeção,360mg
247,Season,Pomada,30mg
248,Leave,Cápsula,3mg
249,Fight,Cápsula,286mg
250,Agency,Cápsula,101mg
251,Teach,Comprimido,22mg
252,Ahead,Cápsula,80mg
253,City,Comprimido,499mg
254,Nature,Cápsula,69mg
255,Build,Injeção,158mg
256,Opportunity,Cápsula,26mg
257,Record,Cápsula,331mg
258,Number,Injeção,109mg
259,Value,Injeção,273mg
260,Really,Injeção,61mg
261,Road,Cápsula,258mg
262,Car,Injeção,427mg
263,Recognize,Xarope,134mg
264,Here,Comprimido,21mg
265,Article,Cápsula,469mg
266,School,Pomada,452mg
267,Various,Pomada,42mg
268,Close,Pomada,295mg
269,Executive,Comprimido,287mg
270,Institution,Xarope,482mg
271,Buy,Pomada,233mg
272,Responsibility,Xarope,68mg
273,Cause,Cápsula,223mg
274,Personal,Xarope,149mg
275,Quickly,Cápsula,248mg
276,Easy,Xarope,300mg
277,Hit,Xarope,3mg
278,Reason,Pomada,498mg
279,Important,Xarope,82mg
280,Claim,Comprimido,327mg
281,Heart,Cápsula,173mg
282,Southern,Comprimido,475mg
283,Learn,Comprimido,455mg
284,Form,Cápsula,217mg
285,Society,Pomada,336mg
286,I,Pomada,458mg
287,Laugh,Pomada,328mg
288,Prevent,Cápsula,178mg
289,Feel,Xarope,344mg
290,Eat,Injeção,1mg
291,Country,Xarope,402mg
292,End,Xarope,26mg
293,Year,Cápsula,479mg
294,Sea,Comprimido,371mg
295,Oil,Xarope,229mg
296,Various,Pomada,350mg
297,Ready,Injeção,220mg
298,Girl,Cápsula,483mg
299,Short,Xarope,185mg
300,Today,Injeção,206mg
301,Into,Xarope,447mg
302,And,Pomada,259mg
303,Value,Comprimido,122mg
304,Court,Cápsula,329mg
305,Plant,Comprimido,264mg
306,Arrive,Comprimido,407mg
307,Style,Pomada,285mg
308,Herself,Xarope,270mg
309,Market,Cápsula,310mg
310,Moment,Cápsula,315mg
311,Tree,Injeção,253mg
312,Kid,Comprimido,271mg
313,At,Pomada,73mg
314,Among,Xarope,436mg
315,Three,Pomada,310mg
316,Life,Cápsula,155mg
317,Hit,Cápsula,451mg
318,Sense,Injeção,448mg
319,Sure,Cápsula,8mg
320,Soon,Injeção,99mg
321,Provide,Xarope,23mg
322,Rather,Xarope,77mg
323,Maintain,Pomada,137mg
324,Research,Cápsula,266mg
325,Article,Pomada,322mg
326,Line,Injeção,274mg
327,Stand,Injeção,237mg
328,Time,Comprimido,326mg
329,Republican,Comprimido,334mg
330,List,Cápsula,100mg
331,Congress,Injeção,478mg
332,Agency,Pomada,447mg
333,Start,Xarope,449mg
334,Important,Comprimido,367mg
335,Base,Pomada,18mg
336,Pull,Comprimido,360mg
337,Gun,Xarope,316mg
338,Matter,Pomada,42mg
339,Mention,Injeção,294mg
340,Rate,Injeção,398mg
341,Window,Injeção,222mg
342,Mrs,Xarope,492mg
343,Reason,Cápsula,64mg
344,Report,Comprimido,128mg
345,Or,Comprimido,171mg
346,Nation,Pomada,476mg
347,Appear,Pomada,387mg
348,Memory,Injeção,232mg
349,Order,Xarope,152mg
350,Its,Injeção,490mg
351,Window,Pomada,108mg
352,See,Cápsula,10mg
353,Trip,Xarope,329mg
354,Two,Injeção,191mg
355,Question,Xarope,184mg
356,Attorney,Cápsula,83mg
357,Her,Comprimido,44mg
358,I,Cápsula,168mg
359,Despite,Injeção,239mg
360,Carry,Injeção,351mg
361,Analysis,Comprimido,99mg
362,Mouth,Pomada,254mg
363,Avoid,Injeção,425mg
364,Model,Cápsula,48mg
365,Paper,Xarope,416mg
366,Five,Cápsula,201mg
367,Hundred,Pomada,176mg
368,Major,Cápsula,69mg
369,Out,Xarope,188mg
370,News,Pomada,17mg
371,Commercial,Cápsula,461mg
372,Minute,Cápsula,386mg
373,Thing,Cápsula,165mg
374,Body,Cápsula,236mg
375,Environmental,Xarope,226mg
376,Name,Pomada,68mg
377,Authority,Pomada,62mg
378,Fall,Cápsula,424mg
379,Say,Cápsula,388mg
380,Beat,Cápsula,183mg
381,Produce,Comprimido,276mg
382,Eat,Pomada,362mg
383,Piece,Injeção,113mg
384,Half,Cápsula,188mg
385,Audience,Pomada,93mg
386,Parent,Comprimido,235mg
387,Growth,Cápsula,344mg
388,Type,Comprimido,174mg
389,Degree,Cápsula,473mg
390,Evening,Injeção,313mg
391,Long,Xarope,325mg
392,Health,Xarope,148mg
393,Beautiful,Pomada,278mg
394,Section,Pomada,449mg
395,Professor,Comprimido,172mg
396,Traditional,Xarope,428mg
397,A,Injeção,344mg
398,Conference,Injeção,48mg
399,How,Xarope,34mg
400,Our,Pomada,305mg
401,Without,Pomada,453mg
402,Find,Injeção,52mg
403,Relationship,Pomada,394mg
404,General,Pomada,37mg
405,Remember,Injeção,404mg
406,Follow,Xarope,210mg
407,Fill,Injeção,401mg
408,Public,Injeção,1mg
409,Improve,Cápsula,351mg
410,Everything,Xarope,377mg
411,General,Injeção,151mg
412,Key,Xarope,404mg
413,Trial,Injeção,203mg
414,Actually,Comprimido,48mg
415,Near,Comprimido,261mg
416,Create,Xarope,217mg
417,Decision,Xarope,154mg
418,Toward,Cápsula,159mg
419,Hundred,Pomada,138mg
420,Must,Cápsula,332mg
421,Number,Xarope,234mg
422,Time,Pomada,429mg
423,Side,Xarope,342mg
424,Fear,Pomada,89mg
425,Human,Pomada,145mg
426,Road,Injeção,18mg
427,Size,Pomada,23mg
428,It,Comprimido,317mg
429,Stage,Cápsula,437mg
430,Capital,Cápsula,85mg
431,Use,Pomada,375mg
432,Policy,Comprimido,499mg
433,Knowledge,Comprimido,418mg
434,Person,Xarope,274mg
435,Dinner,Injeção,259mg
436,Dog,Xarope,419mg
437,Cut,Pomada,154mg
438,Course,Pomada,76mg
439,Must,Cápsula,394mg
440,Run,Pomada,57mg
441,Contain,Pomada,443mg
442,International,Pomada,67mg
443,Most,Cápsula,272mg
444,Water,Cápsula,86mg
445,Agree,Injeção,30mg
446,School,Comprimido,360mg
447,Development,Cápsula,468mg
448,Do,Pomada,359mg
449,Dream,Pomada,495mg
450,Oil,Comprimido,207mg
451,Rich,Cápsula,132mg
452,Late,Pomada,62mg
453,Machine,Injeção,357mg
454,Away,Comprimido,207mg
455,Always,Pomada,346mg
456,Past,Pomada,251mg
457,Report,Injeção,215mg
458,Head,Pomada,205mg
459,Child,Xarope,129mg
460,Beyond,Cápsula,283mg
461,Reach,Cápsula,267mg
462,Assume,Pomada,269mg
463,Decision,Cápsula,192mg
464,Stock,Pomada,66mg
465,Free,Comprimido,92mg
466,Though,Cápsula,131mg
467,Bit,Cápsula,20mg
468,Cultural,Xarope,231mg
469,Network,Pomada,5mg
470,Report,Comprimido,308mg
471,Analysis,Comprimido,213mg
472,Trip,Cápsula,111mg
473,Own,Cápsula,214mg
474,Challenge,Injeção,406mg
475,Man,Injeção,366mg
476,Once,Pomada,380mg
477,Owner,Comprimido,127mg
478,Note,Injeção,99mg
479,After,Injeção,415mg
480,Tax,Xarope,426mg
481,No,Xarope,420mg
482,Specific,Injeção,18mg
483,Discussion,Injeção,192mg
484,Job,Comprimido,90mg
485,Trade,Xarope,319mg
486,Black,Injeção,439mg
487,Least,Cápsula,432mg
488,Attention,Injeção,352mg
489,Quality,Comprimido,33mg
490,Determine,Injeção,467mg
491,President,Injeção,371mg
492,Peace,Cápsula,325mg
493,Management,Cápsula,146mg
494,Eat,Injeção,484mg
495,Resource,Comprimido,43mg
496,Forget,Cápsula,448mg
497,Move,Pomada,426mg
498,She,Cápsula,186mg
499,Relate,Cápsula,72mg
500,My,Comprimido,454mg
501,Term,Cápsula,429mg
502,Herself,Xarope,144mg
503,Summer,Cápsula,16mg
504,Pattern,Pomada,438mg
505,Set,Cápsula,486mg
506,One,Comprimido,208mg
507,Do,Cápsula,188mg
508,Event,Injeção,109mg
509,Challenge,Xarope,395mg
510,Science,Xarope,272mg
511,Manage,Injeção,372mg
512,Fund,Comprimido,231mg
513,Somebody,Cápsula,243mg
514,Military,Cápsula,329mg
515,Rich,Pomada,78mg
516,Benefit,Pomada,412mg
517,Federal,Pomada,263mg
518,Product,Cápsula,238mg
519,Fill,Comprimido,388mg
520,Throughout,Cápsula,491mg
521,Hospital,Xarope,446mg
522,Cell,Comprimido,465mg
523,Method,Cápsula,295mg
524,Coach,Xarope,369mg
525,Inside,Comprimido,236mg
526,Teacher,Xarope,108mg
527,Who,Pomada,284mg
528,Low,Injeção,342mg
529,Meet,Pomada,493mg
530,Republican,Injeção,118mg
531,Water,Cápsula,51mg
532,Past,Comprimido,212mg
533,This,Xarope,491mg
534,Tend,Xarope,140mg
535,Though,Xarope,321mg
536,Suddenly,Cápsula,420mg
537,Spring,Pomada,258mg
538,Interest,Comprimido,77mg
539,Glass,Pomada,372mg
540,Group,Pomada,255mg
541,Address,Xarope,158mg
542,Near,Pomada,366mg
543,Both,Comprimido,165mg
544,Important,Comprimido,364mg
545,Heavy,Xarope,261mg
546,Relationship,Injeção,244mg
547,Authority,Xarope,331mg
548,None,Cápsula,79mg
549,Player,Xarope,265mg
550,Let,Xarope,290mg
551,American,Xarope,79mg
552,Step,Xarope,263mg
553,Reason,Comprimido,427mg
554,Actually,Cápsula,76mg
555,Call,Comprimido,480mg
556,Sport,Pomada,145mg
557,Memory,Comprimido,420mg
558,Third,Pomada,291mg
559,Building,Injeção,325mg
560,Low,Cápsula,470mg
561,Result,Comprimido,212mg
562,Food,Pomada,421mg
563,Create,Comprimido,134mg
564,Current,Pomada,432mg
565,Early,Injeção,132mg
566,Him,Xarope,443mg
567,Fight,Comprimido,151mg
568,Show,Xarope,453mg
569,Four,Xarope,216mg
570,Fast,Pomada,476mg
571,Face,Pomada,126mg
572,Need,Comprimido,154mg
573,Three,Pomada,251mg
574,Believe,Comprimido,146mg
575,Wind,Xarope,376mg
576,Debate,Injeção,341mg
577,Truth,Cápsula,392mg
578,Might,Injeção,467mg
579,Happy,Cápsula,343mg
580,Strong,Cápsula,55mg
581,Face,Pomada,235mg
582,Us,Cápsula,5mg
583,Relationship,Pomada,215mg
584,Anyone,Xarope,80mg
585,Tree,Xarope,6mg
586,Camera,Comprimido,317mg
587,Another,Comprimido,380mg
588,Candidate,Comprimido,232mg
589,Recently,Injeção,462mg
590,Fire,Pomada,410mg
591,Middle,Pomada,314mg
592,Bed,Pomada,26mg
593,Officer,Xarope,438mg
594,Chance,Comprimido,408mg
595,Save,Injeção,178mg
596,Hard,Xarope,236mg
597,Act,Comprimido,449mg
598,Them,Xarope,271mg
599,Feel,Comprimido,430mg
600,Process,Cápsula,357mg
601,Food,Comprimido,252mg
602,Sea,Injeção,417mg
603,Better,Comprimido,21mg
604,Agent,Injeção,445mg
605,Resource,Cápsula,135mg
606,It,Pomada,364mg
607,Democrat,Injeção,296mg
608,Every,Injeção,21mg
609,Think,Injeção,230mg
610,Admit,Xarope,106mg
611,Tend,Cápsula,369mg
612,Husband,Pomada,101mg
613,Rather,Pomada,37mg
614,Sell,Pomada,199mg
615,Type,Cápsula,498mg
616,Sign,Injeção,193mg
617,Western,Pomada,23mg
618,Who,Xarope,357mg
619,Author,Xarope,131mg
620,Door,Comprimido,174mg
621,Big,Injeção,281mg
622,Foot,Injeção,391mg
623,Environment,Xarope,62mg
624,Husband,Pomada,9mg
625,Move,Pomada,468mg
626,Whatever,Xarope,229mg
627,Election,Injeção,305mg
628,Pattern,Injeção,247mg
629,Parent,Injeção,357mg
630,Time,Pomada,370mg
631,Rock,Xarope,440mg
632,Put,Cápsula,103mg
633,My,Injeção,442mg
634,Rest,Comprimido,465mg
635,Past,Injeção,250mg
636,Mission,Xarope,16mg
637,Course,Comprimido,201mg
638,Research,Cápsula,338mg
639,Age,Comprimido,105mg
640,East,Comprimido,293mg
641,Claim,Xarope,454mg
642,Middle,Injeção,351mg
643,Guess,Injeção,298mg
644,Record,Injeção,328mg
645,Land,Xarope,375mg
646,Then,Injeção,322mg
647,Despite,Pomada,316mg
648,Stay,Injeção,400mg
649,Point,Pomada,125mg
650,Raise,Pomada,355mg
651,Question,Xarope,185mg
652,Of,Injeção,29mg
653,Cell,Cápsula,500mg
654,Scientist,Pomada,32mg
655,Grow,Pomada,224mg
656,Top,Comprimido,327mg
657,Would,Cápsula,484mg
658,Big,Cápsula,204mg
659,Report,Injeção,55mg
660,Citizen,Cápsula,429mg
661,Either,Injeção,214mg
662,Science,Comprimido,477mg
663,Stand,Injeção,438mg
664,Matter,Injeção,1mg
665,Until,Pomada,56mg
666,Record,Comprimido,387mg
667,Almost,Xarope,269mg
668,Operation,Injeção,112mg
669,Money,Pomada,353mg
670,Step,Pomada,170mg
671,Away,Cápsula,264mg
672,Travel,Xarope,456mg
673,Strategy,Xarope,294mg
674,Establish,Injeção,32mg
675,Instead,Comprimido,425mg
676,Less,Cápsula,427mg
677,Pressure,Injeção,166mg
678,Staff,Xarope,450mg
679,Beyond,Injeção,102mg
680,Big,Comprimido,189mg
681,Some,Comprimido,438mg
682,Adult,Comprimido,372mg
683,Campaign,Pomada,196mg
684,Risk,Xarope,469mg
685,Even,Cápsula,197mg
686,Go,Pomada,399mg
687,Fall,Xarope,425mg
688,Several,Comprimido,419mg
689,Sell,Pomada,108mg
690,Soldier,Injeção,181mg
691,Trip,Cápsula,28mg
692,Catch,Injeção,350mg
693,Firm,Xarope,344mg
694,All,Comprimido,112mg
695,Environmental,Injeção,449mg
696,Stop,Xarope,198mg
697,Candidate,Cápsula,16mg
698,Front,Pomada,44mg
699,Service,Injeção,375mg
700,Image,Xarope,297mg
701,Professional,Pomada,219mg
702,Picture,Cápsula,35mg
703,Everybody,Cápsula,229mg
704,Performance,Comprimido,306mg
705,About,Injeção,500mg
706,Include,Pomada,482mg
707,Administration,Xarope,231mg
708,Consider,Injeção,275mg
709,Off,Pomada,47mg
710,Vote,Comprimido,8mg
711,Wide,Pomada,52mg
712,Forget,Xarope,41mg
713,New,Xarope,326mg
714,Big,Injeção,246mg
715,Safe,Cápsula,4mg
716,Later,Pomada,314mg
717,Amount,Comprimido,251mg
718,Across,Xarope,185mg
719,Act,Comprimido,83mg
720,Participant,Pomada,243mg
721,Role,Xarope,267mg
722,Two,Cápsula,425mg
723,Help,Comprimido,220mg
724,Stuff,Injeção,294mg
725,Safe,Comprimido,492mg
726,Difficult,Pomada,155mg
727,Believe,Pomada,153mg
728,Run,Pomada,64mg
729,Heavy,Comprimido,72mg
730,However,Pomada,317mg
731,Build,Comprimido,417mg
732,Nothing,Xarope,63mg
733,West,Injeção,422mg
734,Could,Comprimido,293mg
735,College,Cápsula,478mg
736,Other,Pomada,136mg
737,Apply,Cápsula,257mg
738,Develop,Cápsula,353mg
739,Network,Cápsula,432mg
740,Strong,Injeção,457mg
741,Type,Xarope,107mg
742,Lot,Pomada,292mg
743,Theory,Xarope,228mg
744,Management,Injeção,353mg
745,Early,Pomada,370mg
746,Agency,Comprimido,316mg
747,Though,Pomada,418mg
748,Meeting,Comprimido,298mg
749,Them,Comprimido,222mg
750,Major,Xarope,261mg
751,Rich,Comprimido,372mg
752,News,Pomada,376mg
753,Appear,Xarope,300mg
754,System,Cápsula,286mg
755,Pressure,Cápsula,320mg
756,Ten,Comprimido,477mg
757,General,Pomada,222mg
758,Wear,Injeção,307mg
759,Allow,Xarope,496mg
760,Interview,Comprimido,185mg
761,Structure,Xarope,336mg
762,Strong,Xarope,352mg
763,Relationship,Injeção,207mg
764,Reason,Cápsula,414mg
765,Various,Comprimido,413mg
766,Piece,Comprimido,220mg
767,Most,Injeção,368mg
768,Represent,Pomada,349mg
769,Agency,Injeção,158mg
770,Voice,Injeção,228mg
771,Above,Injeção,373mg
772,Exist,Comprimido,361mg
773,Force,Xarope,112mg
774,Cold,Comprimido,143mg
775,Call,Pomada,410mg
776,Government,Comprimido,8mg
777,Evening,Injeção,237mg
778,Wait,Injeção,395mg
779,Need,Xarope,237mg
780,Poor,Injeção,2mg
781,Anything,Xarope,359mg
782,Itself,Pomada,364mg
783,Wonder,Injeção,344mg
784,According,Cápsula,69mg
785,About,Pomada,472mg
786,Along,Injeção,165mg
787,Science,Cápsula,499mg
788,Role,Injeção,430mg
789,Mother,Pomada,367mg
790,Return,Xarope,288mg
791,Baby,Xarope,49mg
792,Against,Injeção,302mg
793,Treat,Xarope,312mg
794,Use,Pomada,82mg
795,Brother,Xarope,372mg
796,Voice,Pomada,239mg
797,Current,Cápsula,148mg
798,Candidate,Xarope,27mg
799,Protect,Comprimido,125mg
800,Her,Cápsula,238mg
801,If,Injeção,2mg
802,Movement,Xarope,298mg
803,Water,Xarope,7mg
804,Cause,Xarope,320mg
805,Never,Injeção,121mg
806,Record,Pomada,285mg
807,None,Injeção,71mg
808,Usually,Comprimido,275mg
809,Machine,Injeção,148mg
810,Buy,Injeção,4mg
811,Woman,Xarope,487mg
812,Hot,Xarope,115mg
813,Special,Pomada,112mg
814,Week,Comprimido,268mg
815,Suffer,Injeção,437mg
816,Memory,Cápsula,129mg
817,Glass,Injeção,1mg
818,Listen,Comprimido,435mg
819,Cause,Injeção,246mg
820,Some,Injeção,226mg
821,Manager,Injeção,353mg
822,Again,Xarope,230mg
823,Feeling,Pomada,55mg
824,Again,Comprimido,180mg
825,Pm,Pomada,383mg
826,Same,Injeção,279mg
827,Message,Pomada,438mg
828,Wait,Xarope,422mg
829,These,Cápsula,403mg
830,Mother,Pomada,313mg
831,Finally,Xarope,484mg
832,Or,Injeção,327mg
833,Media,Comprimido,15mg
834,Front,Pomada,362mg
835,Who,Injeção,354mg
836,Understand,Xarope,498mg
837,Finally,Injeção,95mg
838,Onto,Cápsula,407mg
839,Company,Comprimido,58mg
840,Campaign,Pomada,432mg
841,Expect,Cápsula,368mg
842,Action,Comprimido,387mg
843,Wait,Cápsula,258mg
844,Any,Pomada,15mg
845,Reality,Cápsula,89mg
846,Wife,Injeção,254mg
847,Ahead,Pomada,159mg
848,Else,Cápsula,213mg
849,Great,Comprimido,96mg
850,Itself,Xarope,475mg
851,Fund,Cápsula,31mg
852,Information,Injeção,178mg
853,List,Xarope,364mg
854,Nor,Comprimido,292mg
855,Tv,Injeção,257mg
856,Write,Comprimido,189mg
857,Too,Comprimido,390mg
858,Physical,Cápsula,118mg
859,Billion,Cápsula,474mg
860,True,Comprimido,229mg
861,Major,Xarope,187mg
862,Fund,Pomada,174mg
863,Agreement,Injeção,197mg
864,Experience,Xarope,90mg
865,Doctor,Injeção,322mg
866,Part,Comprimido,25mg
867,Peace,Cápsula,419mg
868,Color,Xarope,88mg
869,Cost,Pomada,315mg
870,Future,Injeção,137mg
871,Anyone,Cápsula,46mg
872,Article,Xarope,312mg
873,Care,Xarope,364mg
874,Sure,Injeção,374mg
875,Task,Comprimido,327mg
876,Health,Cápsula,267mg
877,Design,Injeção,202mg
878,International,Comprimido,329mg
879,Degree,Pomada,253mg
880,Audience,Cápsula,369mg
881,Information,Cápsula,262mg
882,Career,Comprimido,317mg
883,Camera,Comprimido,179mg
884,Lay,Pomada,296mg
885,Interview,Cápsula,124mg
886,How,Injeção,213mg
887,Poor,Cápsula,370mg
888,Since,Pomada,29mg
889,Western,Xarope,397mg
890,Leader,Comprimido,345mg
891,Difficult,Cápsula,462mg
892,Weight,Comprimido,218mg
893,Family,Comprimido,14mg
894,Road,Injeção,248mg
895,North,Injeção,312mg
896,Law,Comprimido,185mg
897,Effect,Cápsula,47mg
898,Activity,Xarope,111mg
899,Officer,Xarope,383mg
900,Federal,Pomada,248mg
901,Media,Cápsula,217mg
902,Sense,Xarope,115mg
903,Apply,Pomada,37mg
904,Bit,Cápsula,203mg
905,Help,Cápsula,428mg
906,Medical,Xarope,363mg
907,Traditional,Pomada,206mg
908,Body,Injeção,167mg
909,Officer,Xarope,339mg
910,Actually,Comprimido,331mg
911,Team,Cápsula,485mg
912,Top,Comprimido,300mg
913,Everyone,Pomada,491mg
914,In,Pomada,144mg
915,Its,Comprimido,132mg
916,Save,Comprimido,64mg
917,Assume,Injeção,85mg
918,Window,Xarope,394mg
919,Catch,Injeção,241mg
920,Management,Xarope,30mg
921,Least,Injeção,384mg
922,Catch,Cápsula,111mg
923,Business,Cápsula,454mg
924,School,Injeção,435mg
925,Station,Pomada,275mg
926,Through,Cápsula,68mg
927,South,Injeção,162mg
928,Culture,Pomada,401mg
929,Tax,Injeção,373mg
930,Decade,Pomada,225mg
931,Member,Pomada,158mg
932,Difference,Xarope,402mg
933,Yard,Pomada,185mg
